"1","2","3","4","5"
1e-04,0.7572,0.2426,1e-04,1e-04
0,0.9998,0,0,0
0,0.9999,0,0,0
0.0014,0.0014,0.0014,0.9944,0.0014
1e-04,0.3463,0.6535,1e-04,1e-04
1e-04,0.9997,1e-04,1e-04,1e-04
6e-04,0.284,0.7143,6e-04,6e-04
0,0.322,0.6779,0,0
1e-04,0.9998,1e-04,1e-04,1e-04
0,0,0,0,0.9999
0.0023,0.0023,0.0023,0.9909,0.0023
1e-04,0.7572,0.2426,1e-04,1e-04
0,0.9998,0,0,0
0,0.9999,0,0,0
0.0014,0.0014,0.0014,0.9944,0.0014
1e-04,1e-04,1e-04,1e-04,0.9998
0,0,0,0,0.9998
1e-04,1e-04,0.9646,1e-04,0.0351
1e-04,0.0298,1e-04,1e-04,0.97
1e-04,1e-04,1e-04,1e-04,0.9997
1e-04,0.9995,1e-04,1e-04,1e-04
0,0,0,0,0.9999
1e-04,0.9998,1e-04,1e-04,1e-04
1e-04,1e-04,1e-04,1e-04,0.9997
1e-04,1e-04,1e-04,1e-04,0.9998
0,0,0,0,0.9998
1e-04,1e-04,0.9646,1e-04,0.0351
1e-04,0.0298,1e-04,1e-04,0.97
1e-04,1e-04,1e-04,1e-04,0.9997
1e-04,0.9995,1e-04,1e-04,1e-04
0,0,0,0,0.9999
1e-04,0.9998,1e-04,1e-04,1e-04
1e-04,1e-04,1e-04,1e-04,0.9997
0,0,0.9999,0,0
0,0,0.9999,0,0
0.9999,0,0,0,0
0.9999,0,0,0,0
0,0,0,0.9999,0
0.9997,1e-04,1e-04,1e-04,1e-04
0,0,0,0.9999,0
0,0,0,0.9999,0
0,0,0,0.8727,0.1272
0,0,0,0.9998,0
0.9997,1e-04,1e-04,1e-04,1e-04
0.2681,4e-04,0.7306,4e-04,4e-04
0.9999,0,0,0,0
0,0,0.0489,0.951,0
0,0,0.9999,0,0
0,0,0.9999,0,0
0.9999,0,0,0,0
0.9999,0,0,0,0
0,0,0,0.9999,0
0.9997,1e-04,1e-04,1e-04,1e-04
